Name,Value,Value Type,Type,Discount Class
KATHRINSPECIAL,-40,percentage,Amount Off,order
INES40,-40,percentage,Amount Off,order
LENASPECIAL,-40,percentage,Amount Off,order
CAROLINSPECIAL,-40,percentage,Amount Off,order
ARNOFREE,-100,percentage,Amount Off,order
GOPAULA40,-40,percentage,Amount Off,order
KRISTINA40,-40,percentage,Amount Off,order
FILIZ40,-40,percentage,Amount Off,order
DIEFILIZ40,-40,percentage,Amount Off,order
GOJESSI40,-40,percentage,Amount Off,order
GOJESSII40,-40,percentage,Amount Off,order
JESSILOVE40,-40,percentage,Amount Off,order
hisarahlinda,-50,percentage,Amount Off,order
sahralinda40,-40,percentage,Amount Off,order
gosarah40,-40,percentage,Amount Off,order
KASSII40,-40,percentage,Amount Off,order
GIGI40,-40,percentage,Amount Off,order
GIGIRELLA40,-40,percentage,Amount Off,order
GIGIRELLA_40,-40,percentage,Amount Off,order
yvonne40,-40,percentage,Amount Off,order
JESSIICOOPER40,-40,percentage,Amount Off,order
CELINA40,-40,percentage,Amount Off,order
HEYLISA40,-40,percentage,Amount Off,order
TAHNEE40,-40,percentage,Amount Off,order
NADINEDANKE,-40,percentage,Amount Off,order
JUTTA40,-40,percentage,Amount Off,order
JOSCHYDANKE,-40,percentage,Amount Off,order
MARIEYOU,0,percentage,Amount Off,order
KASSI40,-40,percentage,Amount Off,order
THANYA40,-40,percentage,Amount Off,order
BIANCADANKE,-40,percentage,Amount Off,order
DANKEBIANCA,-45,percentage,Amount Off,order
DANKENADINE,-40,percentage,Amount Off,order
DANKEJOSCHY40,-40,percentage,Amount Off,order
DANKEIULIA,-45,percentage,Amount Off,order
DANKEJULIA,-40,percentage,Amount Off,order
IULIADANKE,-40,percentage,Amount Off,order
DANKEJULIA40,-40,percentage,Amount Off,order
Biniebo40,-40,percentage,Amount Off,order
TUBA40,-40,percentage,Amount Off,order
HEIKESPECIAL,-60,fixed_amount,Amount Off,product
EVA40,-40,percentage,Amount Off,order
EVANTHIA40,-40,percentage,Amount Off,order
DANKE40,-40,percentage,Amount Off,order
Anni40,-40,percentage,Amount Off,order
leo40,-40,percentage,Amount Off,order
NICOLA40,-40,percentage,Amount Off,order
KARYNSPECIAL,-40,percentage,Amount Off,order
peaches40,-40,percentage,Amount Off,order
NINASPECIAL30,-30,percentage,Amount Off,order
JENNYDANKE,-40,percentage,Amount Off,order
JENNYDANKE40,-40,percentage,Amount Off,order
THANYA,-40,percentage,Amount Off,order
THANYAW40,-40,percentage,Amount Off,order
TAHNE40,-40,percentage,Amount Off,order
liv40,-40,percentage,Amount Off,order
landmaedchen40,-40,percentage,Amount Off,order
KONFETTIDANKE,-40,percentage,Amount Off,order
MARENDANKE,-40,percentage,Amount Off,order
LALOUDANKE,-40,percentage,Amount Off,order
LALUDANKE,-40,percentage,Amount Off,order
LALOUDANKE40,-40,percentage,Amount Off,order
Janni40,-40,percentage,Amount Off,order
leila40,-40,percentage,Amount Off,order
NICOLA,-40,percentage,Amount Off,order
NICOLE40,-40,percentage,Amount Off,order
FREDERIKESPECIAL,0,fixed_amount,Amount Off,order
anica40,-40,percentage,Amount Off,order
Landmädchen40,-40,percentage,Amount Off,order
Tia40,-40,percentage,Amount Off,order
FFRANZY40,-40,percentage,Amount Off,order
FRANZI40,-40,percentage,Amount Off,order
SARAHLOVE40,-40,percentage,Amount Off,order
nicolette40,-40,percentage,Amount Off,order
HEYMELINA40,-40,percentage,Amount Off,order
silja40,-40,percentage,Amount Off,order
Mira40,-40,percentage,Amount Off,order
LOVE30,-30,percentage,Amount Off,order
GOJENNY40,-40,percentage,Amount Off,order
miss40,-40,percentage,Amount Off,order
mine40,-40,percentage,Amount Off,order
VANIA40,-40,percentage,Amount Off,order
RUYA40,-40,percentage,Amount Off,order
IRYNA40,-40,percentage,Amount Off,order
IRINA40,-40,percentage,Amount Off,order
MIRAY40,-40,percentage,Amount Off,order
dzeni40,-40,percentage,Amount Off,order
Emilia40,-50,percentage,Amount Off,order
CHRISTINA40,-50,percentage,Amount Off,order
KARIN40,-40,percentage,Amount Off,order
LOUIBLOG40,-40,percentage,Amount Off,order
SANDRA40,-40,percentage,Amount Off,order
CHEYENNE40,-40,percentage,Amount Off,order
gomelina40,-40,percentage,Amount Off,order
amira40,-40,percentage,Amount Off,order
alica40,-40,percentage,Amount Off,order
Claudia40,-40,percentage,Amount Off,order
adi40,-40,percentage,Amount Off,order
sunny40,-40,percentage,Amount Off,order
juliakitzmueller40,-40,percentage,Amount Off,order
fatu40,-40,percentage,Amount Off,order
sonia40,-40,percentage,Amount Off,order
HIMELINA40,-40,percentage,Amount Off,order
heyvanessa40,-40,percentage,Amount Off,order
sandy40,-40,percentage,Amount Off,order
FRANCES40,-40,percentage,Amount Off,order
melike40,-40,percentage,Amount Off,order
alicia40,-40,percentage,Amount Off,order
denise40,-40,percentage,Amount Off,order
sila40,-40,percentage,Amount Off,order
fitmilenka40,-40,percentage,Amount Off,order
mamamulle40,-40,percentage,Amount Off,order
SIMONE40,-40,percentage,Amount Off,order
HIALINE40,-40,percentage,Amount Off,order
HIELENA40,-40,percentage,Amount Off,order
HIKIM40,-40,percentage,Amount Off,order
SINAH40,-40,percentage,Amount Off,order
fitmom40,-40,percentage,Amount Off,order
namaste40,-40,percentage,Amount Off,order
fatma40,-40,percentage,Amount Off,order
fitkim40,-40,percentage,Amount Off,order
trendshock40,-50,percentage,Amount Off,order
HEYNADINE40,-40,percentage,Amount Off,order
FRANCESCA40,-40,percentage,Amount Off,order
mareike40,-40,percentage,Amount Off,order
JANINA40,-40,percentage,Amount Off,order
lisabamboo,-40,percentage,Amount Off,order
LEILABAMBOO,-40,percentage,Amount Off,order
JANNIBAMBOO,-40,percentage,Amount Off,order
LUISABAMBOO,-40,percentage,Amount Off,order
CLARABAMBOO,-40,percentage,Amount Off,order
trendilybamboo,-40,percentage,Amount Off,order
VICTORIABAMBOO,-40,percentage,Amount Off,order
LAURABAMBOO,-40,percentage,Amount Off,order
JOSCHYBAMBOO,-40,percentage,Amount Off,order
NADINEBAMBOO,-40,percentage,Amount Off,order
KONFETTIBAMBOO,-40,percentage,Amount Off,order
MARENBAMBOO,-40,percentage,Amount Off,order
Anne40,-40,percentage,Amount Off,order
NINABAMBOO,-40,percentage,Amount Off,order
SARAHBAMBOO,-40,percentage,Amount Off,order
FRANCESCABAMBOO,-40,percentage,Amount Off,order
BAMBOO40,-40,percentage,Amount Off,order
NICOLETTEBAMBOO,-40,percentage,Amount Off,order
Eliana40,-40,percentage,Amount Off,order
BAMBUS40,-40,percentage,Amount Off,order
BAMBO40,-40,percentage,Amount Off,order
Rabiosa40,-40,percentage,Amount Off,order
LOU40,-50,percentage,Amount Off,order
GLÜCK40,-40,percentage,Amount Off,order
juse40,-40,percentage,Amount Off,order
Constantly40,-40,percentage,Amount Off,order
MEHTAP40,-40,percentage,Amount Off,order
MADELEINE40,-40,percentage,Amount Off,order
HISASKIA40,-40,percentage,Amount Off,order
HISABRINA40,-40,percentage,Amount Off,order
HELLOANNA40,-40,percentage,Amount Off,order
ACELYA40,-40,percentage,Amount Off,order
lorena40,-40,percentage,Amount Off,order
christin40,-40,percentage,Amount Off,order
sarahfoxx40,-40,percentage,Amount Off,order
samantha40,-40,percentage,Amount Off,order
SOPHIA40,-40,percentage,Amount Off,order
nadinchen40,-40,percentage,Amount Off,order
EVELYN40,-40,percentage,Amount Off,order
selin40,-40,percentage,Amount Off,order
HIJANINE40,-40,percentage,Amount Off,order
ESRAWORLD40,-40,percentage,Amount Off,order
JANAJULIE40,-40,percentage,Amount Off,order
victoriajancke40,-40,percentage,Amount Off,order
VICTORIADANKE40,-40,percentage,Amount Off,order
Glueck40,-40,percentage,Amount Off,order
ROSA40,-40,percentage,Amount Off,order
LIBERTA40,-40,percentage,Amount Off,order
CARO40,-40,percentage,Amount Off,order
HISABINA40,-40,percentage,Amount Off,order
romina40,-40,percentage,Amount Off,order
LISAFASHION40,-40,percentage,Amount Off,order
MELINASPECIAL,-40,percentage,Amount Off,order
xenia40,-40,percentage,Amount Off,order
meike40,-40,percentage,Amount Off,order
annegtzz40,-40,percentage,Amount Off,order
sarahthei40,-40,percentage,Amount Off,order
HIANNI40,-40,percentage,Amount Off,order
LISADOEHL40,-40,percentage,Amount Off,order
LISADÖHL40,-40,percentage,Amount Off,order
LISADOEL40,-40,percentage,Amount Off,order
GINA40,-40,percentage,Amount Off,order
TATJANA40,-40,percentage,Amount Off,order
JENNYDANK,-40,percentage,Amount Off,order
Vogel40,-40,percentage,Amount Off,order
RIKE40,-40,percentage,Amount Off,order
LISADOEHL,-50,percentage,Amount Off,order
Lena40,-40,percentage,Amount Off,order
hannah40,-40,percentage,Amount Off,order
bahar40,-40,percentage,Amount Off,order
BEA40,-40,percentage,Amount Off,order
CARINA40,-40,percentage,Amount Off,order
JOLIEJANINE40,-40,percentage,Amount Off,order
STEPHI40,-50,percentage,Amount Off,order
ANIKASPECIAL,-40,percentage,Amount Off,order
ISABEL40,-40,percentage,Amount Off,order
Hakanur40,-40,percentage,Amount Off,order
JILL40,-40,percentage,Amount Off,order
ANNIKA40,-40,percentage,Amount Off,order
zoesalome40,-40,percentage,Amount Off,order
jennyfashion40,-40,percentage,Amount Off,order
janne40,-40,percentage,Amount Off,order
SILVI40,-40,percentage,Amount Off,order
HISARAH40,-40,percentage,Amount Off,order
valentina40,-40,percentage,Amount Off,order
LENY40,-40,percentage,Amount Off,order
Annaklinski40,-40,percentage,Amount Off,order
heysophie40,-40,percentage,Amount Off,order
faunita40,-40,percentage,Amount Off,order
gerid40,-40,percentage,Amount Off,order
liza40,-40,percentage,Amount Off,order
Heyjessy40,-40,percentage,Amount Off,order
JULIALOVE40,-40,percentage,Amount Off,order
ANNETT40,-40,percentage,Amount Off,order
JASMIN40,-40,percentage,Amount Off,order
ANDRINA40,-40,percentage,Amount Off,order
